ref,headline,FAKE,TRUE
C,Government Unveils Ambitious Plan to Modernize Public Transport Infrastructure        ,,
C,Landmark Education Reform Bill Passes Amidst Debate Over Curriculum Changes,,
C,National Health Service Announces Innovative Telemedicine Initiative,,
C,Local Community Rallies Together to Restore Historic Landmark,,
C,Exclusive Interview: Leading Scientist Discusses Breakthrough in Climate Research,,
C,UK Economy Shows Signs of Recovery as Unemployment Rates Drop,,
C,New Study Reveals Alarming Rise in Childhood Obesity Rates,,
C,"Royal Family Attends Charity Event, Highlights Philanthropic Efforts",,
C,Brexit Trade Talks Reach Critical Phase as Negotiators Seek Common Ground,,
C,"Artificial Intelligence Adoption Grows, Raising Questions About Automation Impact",,
C,Nation Celebrates Cultural Diversity with Vibrant Annual Festival,,
C,National Security Alert: Government Increases Counterterrorism Measures,,
C,Investigation Uncovers Scandal Involving Prominent Political Figure,,
C,Wildlife Conservation Efforts Pay Off as Endangered Species Thrive,,
C,"Youth-Led Climate Protest Draws Thousands, Demanding Government Action",,
C,Tech Startups Flourish as Entrepreneurial Spirit Gains Momentum,,
C,Housing Crisis Prompts Calls for Affordable Housing Solutions,,
C,Transportation Disruption: Commuters Brace for Rail Network Overhaul,,
C,Entertainment Industry Embraces Virtual Platforms Amidst Pandemic Challenges,,
C,Innovative British Invention Revolutionizes Renewable Energy Storage,,
B,Queen Elizabeth II to step down from throne after 70 years,,
B,UK government to introduce mandatory vaccination for all adults,,
B,New study finds that climate change is causing more extreme weather events,,
B,Trump announces run for president in 2024,,
B,North Korea fires ballistic missile into the Sea of Japan,,
B,China overtakes US as world's largest economy,,
B,EU agrees to ban all Russian oil imports,,
B,Huge asteroid to pass close to Earth next week,,
B,Scientists discover new planet that could support life,,
B,Major breakthrough in cancer research,,
B,Boris Johnson to resign after partygate scandal,,
B,Keir Starmer to become next Prime Minister,,
B,Labour Party to win general election with landslide victory,,
B,SNP to win Scottish independence referendum,,
B,UK to leave European Union without a deal,,
B,Second COVID-19 pandemic hits UK,,
B,Huge earthquake hits London,,
B,Met Office issues 'red alert' for extreme heat,,
B,UK to experience worst drought in 100 years,,
B,Wildfires destroy large swathes of countryside,,
H,"US and China edge closer to trade deal, but tensions remain",,
H,NATO chief warns of Russian threat to European security,,
H,"Iran nuclear deal on life support as France, Germany threaten to pull out",,
H,"North Korea fires ballistic missile, sparking alarm in Seoul and Tokyo",,
H,"UK PM Johnson denies cover-up over Parliament shutdown, defends Brexit strategy",,
H,Pakistan PM Khan calls for dialogue with India after Kashmir clashes,,
H,Putin's party wins majority in Russian parliamentary elections,,
H,"US Defense Secretary Esper visits Kabul, promises continued support for Afghan forces",,
H,Sudan's Bashir sentenced to 20 years in prison for corruption,,
H,Protests erupt in Egypt after government proposes constitutional changes,,
H,"Netanyahu's Likud Party wins Israeli election, setting up right-wing coalition",,
H,Thousands march in London to demand second Brexit referendum,,
H,"US and South Korea begin joint military exercises, angering Pyongyang",,
H,Erdogan's AKP loses Istanbul mayoralty in blow to Turkish president,,
H,Hong Kong police arrest dozens in latest anti-government protests,,
H,"Indonesia's Widodo inaugurated for second term, vows to tackle radicalism",,
H,Mali's Keita names new government after resignation of prime minister,,
H,UN Security Council extends Somalia peacekeeping mission,,
H,"Czech PM Babis survives no-confidence vote, keeps grip on power",,
H,Myanmar's Suu Kyi faces pressure over Rohingya genocide allegations at ICJ,,
